"Refs","Value","Qty","MPN","Mfr","LCSC"
"C1","470uF/50V","1","KM477M050G20RR0VH2FP0","Chengx","C34642"
"C2-C5","100uF/50V","4","KM107M050F12RR0VH2FP0","Aishi","C2749"
"C6-C9","100nF/50V","4","CC0805KRX7R9BB104","Yageo","C49678"
"C10","100uF/16V","1","KS107M025E07RR0VH2FP0","Aishi","C44587"
"C11,C13-C20","100nF","9","CC0805KRX7R9BB104","Yageo","C49678"
"C12","22uF","1","HGC0805R5226K160NSLJ","HGC","C7472967"
"D1","SMBJ33A","1","SMBJ33A","NH","C7427916"
"D2","SMBJ6.5A","1","SMBJ6.5A","TDSEMIC","C52176732"
"F1","4A","1","XF-508P-B-B","XFCN","C19727305"
"F2","1.5A","1","015401.5DR","Littelfuse","C206920"
"J1,J2","Conn_01x22_Socket","2","ZX-PM2.54-1-22PY","Ckmtw","C7499337"
"J3","MUX_2","1","PZ2.54-1X4P-H25","JXTCONN","C42431787"
"J4","MUX_3","1","PZ2.54-1X4P-H25","JXTCONN","C42431787"
"J5","MUX_4","1","PZ2.54-1X4P-H25","JXTCONN","C42431787"
"J6","MUX_5","1","PZ2.54-1X4P-H25","JXTCONN","C42431787"
"J7","MUX_6","1","PZ2.54-1X4P-H25","JXTCONN","C42431787"
"J8","MUX_7","1","PZ2.54-1X4P-H25","JXTCONN","C42431787"
"J17","Motor_Slide","1","B4B-XH-A(LF)(SN)","JST","C144395"
"J18","Motor_Pan","1","B4B-XH-A(LF)(SN)","JST","C144395"
"J19","Motor_Tilt","1","B4B-XH-A(LF)(SN)","JST","C144395"
"J20,J24","TCA9548A_Mux","2","KH-2.54FH-1X12P-H8.5","Ckmtw","C2905419"
"J21","AS5600_Pan","1","B4B-XH-A(LF)(SN)","JST","C144395"
"J22","AS5600_Tilt","1","B4B-XH-A(LF)(SN)","JST","C144395"
"J23","OLED","1","PZ2.54-1X4P-H25","JXTCONN","C42431787"
"J26","Limit_Min","1","B2B-XH-A(LF)(SN)","JST","C158012"
"J27","Limit_Max","1","B2B-XH-A(LF)(SN)","JST","C158012"
"J28","Motor_Aux","1","B4B-XH-A(LF)(SN)","JST","C144395"
"J29","Enc_Slide","1","B3B-XH-A(LF)(SN)","JST","C144394"
"J30","Enc_Pan","1","B3B-XH-A(LF)(SN)","JST","C144394"
"J31","Enc_Tilt","1","B3B-XH-A(LF)(SN)","JST","C144394"
"J32","Enc_Aux","1","B3B-XH-A(LF)(SN)","JST","C144394"
"J33","Btn_SetKeyframe","1","B2B-XH-A(LF)(SN)","JST","C158012"
"J34","Btn_ClearKeyframe","1","B2B-XH-A(LF)(SN)","JST","C158012"
"J35","Btn_PlayPause","1","B2B-XH-A(LF)(SN)","JST","C158012"
"J36","Btn_Reset","1","B2B-XH-A(LF)(SN)","JST","C158012"
"J37","5V_In","1","MX126-5.0-02P-GN01-Cu-S-A","MaiXu","C5188434"
"J38","24V_In","1","MX126-5.0-02P-GN01-Cu-S-A","MaiXu","C5188434"
"J41","Aux_Max","1","B2B-XH-A(LF)(SN)","JST","C158012"
"LED1","LED_24V","1","NCD0805R1","Nationstar","C84256"
"LED2","LED_5V","1","NCD0805R1","Nationstar","C84256"
"LED3","LED_3V3","1","NCD0805R1","Nationstar","C84256"
"R1-R4","4.7k","4","0805W8F4701T5E","Uniroyal","C17673"
"R5-R8,R32","2.2k","5","0805W8F2201T5E","Uniroyal","C17520"
"R10,R11","100R","2","0603WAF1000T5E","Uniroyal","C22775"
"R12","1k R","1","0603WAF1001T5E","Uniroyal","C21190"
"R25-R31","10k","7","0805W8F1002T5E","Uniroyal","C17414"
"R33","1k","1","0805W8F1001T5E","Uniroyal","C17513"
"U1-U4","tmc2209","4","2.54-1*8P","Ckmtw","C27438"
