Reference,Qty,Value,Footprint,MPN,Manufacturer,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C1,C59,C73,C60,C72",5,100uF_35V,CP_Radial_D8.0mm_P3.50mm,,,,,,,
C3,1,220uF_25V,CP_Radial_D8.0mm_P3.50mm,,,,,,,
C4,1,10uF,0603,,,,,,,
C5,1,0.1uF,0603,,,,,,,
C11,1,22uF,0603,,,,,,,
C12,1,1uF,0603,,,,,,,
C14,1,10uF,0805,,,,,,,
"C15,C13,C16,C2,C56,C64,C71,C63,C61,C70,C74,C62,C76,C58,C57,C69,C75",17,100nF,0603,,,,,,,
"C68,C78,C67,C79",4,22nF,0603,,,,,,,
"C77,C66,C65,C80",4,4.7uF,0603,,,,,,,
D2,1,SS14,SOD-123,,,,,,,
"D3,D1",2,SS34,SMC,,,,,,,
F1,1,2A,Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal,,,,,,,
J1,1,24V_In,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,,,,,,
J3,1,USB_PROG,USB_C_Receptacle_GCT_USB4085,,,,,,,
J19,1,AS5600_Pan,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J20,1,AS5600_Tilt,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J21,1,OLED,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J22,1,Enc_Jog,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J23,1,Enc_Angle,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J24,1,Limit_Min,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,,,,
J25,1,Limit_Max,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,,,,
J26,1,Limit_Z_Home,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,,,,
J27,1,Motor_Slide,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J28,1,Motor_Tilt,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J29,1,Motor_Pan,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
J30,1,Motor_Z,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,,,,,
L1,1,100uH,Bourns-SRN8040_8x8.15mm,,,,,,,
R6,1,1k,,,,,,,,
"R8,R7",2,5.1k,0603,,,,,,,
R10,1,1k,0603,,,,,,,
"R11,R9",2,10k,0603,,,,,,,
"R31,R33,R34,R37,R32,R30,R36,R35",8,4.7k,0603,,,,,,,
"R43,R40,R42,R41,R45,R44,R39,R38",8,0.11,0603,,,,,,,
SW3,1,RESET,SW_PUSH_6mm,,,,,,,
SW4,1,BOOT,SW_PUSH_6mm,,,,,,,
U1,1,LM2596S-5,TO-263-5_TabPin3,,,,http://www.ti.com/lit/ds/symlink/lm2596.pdf,,,
U2,1,AMS1117-3.3,SOT-223-3_TabPin2,,,,http://www.advanced-monolithic.com/pdf/ds1117.pdf,,,
U4,1,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,,,,https://documentation.espressif.com/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,,,
U13,1,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,,,,http://www.ti.com/lit/ds/symlink/tca9548a.pdf,,,
"U14,U15,U16,U17",4,TMC2209-LA,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,,,,https://www.analog.com/media/en/technical-documentation/data-sheets/TMC2209_datasheet_rev1.09.pdf,,,
