Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470uF/50V","CP_Radial_D10.0mm_P5.00mm",159.000000,-51.132323,-90.000000,top
"C2","100uF/50V","CP_Radial_D8.0mm_P3.50mm",148.000000,-51.347349,-90.000000,top
"C3","100uF/50V","CP_Radial_D8.0mm_P3.50mm",128.000000,-51.347349,-90.000000,top
"C4","100uF/50V","CP_Radial_D8.0mm_P3.50mm",107.500000,-51.347349,-90.000000,top
"C5","100uF/50V","CP_Radial_D8.0mm_P3.50mm",94.500000,-50.847349,-90.000000,top
"C6","100nF/50V","C_0805_2012Metric",144.000000,-48.000000,-90.000000,top
"C7","100nF/50V","C_0805_2012Metric",124.000000,-48.000000,-90.000000,top
"C8","100nF/50V","C_0805_2012Metric",104.500000,-47.000000,-90.000000,top
"C9","100nF/50V","C_0805_2012Metric",88.138000,-51.054000,-90.000000,top
"C10","100uF/16V","CP_Radial_D6.3mm_P2.50mm",161.000000,-61.317621,-90.000000,top
"C11","100nF","C_0805_2012Metric",141.000000,-75.000000,90.000000,top
"C12","22uF","C_0805_2012Metric",159.102000,-126.584000,90.000000,top
"C13","100nF","C_0805_2012Metric",141.986000,-126.492000,90.000000,top
"C14","100nF","C_0805_2012Metric",145.034000,-126.492000,90.000000,top
"C15","100nF","C_0805_2012Metric",148.534000,-126.542000,90.000000,top
"C16","100nF","C_0805_2012Metric",152.034000,-126.542000,90.000000,top
"C17","100nF","C_0805_2012Metric",155.534000,-126.542000,90.000000,top
"F1","Fuse","Fuseholder_Clip-5x20mm_Littelfuse_111_Inline_P20.00x5.00mm_D1.05mm_Horizontal",168.500000,-31.500000,-90.000000,top
"J1","Conn_01x22_Socket","PinSocket_1x22_P2.54mm_Vertical",137.500000,-127.260000,180.000000,top
"J2","Conn_01x22_Socket","PinSocket_1x22_P2.54mm_Vertical",112.295000,-127.260000,180.000000,top
"J17","Motor_Slide","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",89.150000,-21.560000,0.000000,top
"J18","Motor_Pan","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",108.650000,-21.540000,0.000000,top
"J19","Motor_Tilt","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",128.806346,-21.560000,0.000000,top
"J20","TCA9548A_Mux","PinSocket_1x12_P2.54mm_Vertical",147.500000,-75.220000,0.000000,top
"J21","AS5600_Pan","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",148.500000,-116.475000,0.000000,top
"J22","AS5600_Tilt","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",163.000000,-116.424200,0.000000,top
"J23","OLED","PinSocket_1x04_P2.54mm_Vertical",89.380000,-128.000000,90.000000,top
"J24","TCA9548A_Mux","PinSocket_1x12_P2.54mm_Vertical",161.458800,-75.220000,0.000000,top
"J26","Limit_Min","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",90.000000,-119.250000,90.000000,top
"J27","Limit_Max","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",90.025000,-108.500000,90.000000,top
"J28","Motor_Aux","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",148.306346,-21.560000,0.000000,top
"J29","Enc_Slide","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",102.500000,-110.500000,90.000000,top
"J30","Enc_Pan","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",102.475000,-70.000000,90.000000,top
"J31","Enc_Tilt","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",102.475000,-97.500000,90.000000,top
"J32","Enc_Aux","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",102.500000,-84.000000,90.000000,top
"J33","Btn_SetKeyframe","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",90.000000,-97.500000,90.000000,top
"J34","Btn_ClearKeyframe","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",89.975000,-65.750000,90.000000,top
"J35","Btn_PlayPause","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",89.975000,-76.250000,90.000000,top
"J36","Btn_Reset","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",90.000000,-86.750000,90.000000,top
"J37","5V_In","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",169.500000,-62.500000,90.000000,top
"J38","24V_In","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",171.000000,-23.500000,180.000000,top
"J41","Aux_Max","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",102.616000,-119.868000,90.000000,top
"R1","4.7k","R_0805_2012Metric",143.000000,-79.277500,-90.000000,top
"R2","4.7k","R_0805_2012Metric",143.000000,-83.602500,90.000000,top
"R3","4.7k","R_0805_2012Metric",100.500000,-128.000000,180.000000,top
"R4","4.7k","R_0805_2012Metric",98.000000,-125.000000,0.000000,top
"R5","2.2k","R_0805_2012Metric",154.000000,-110.062500,-90.000000,top
"R6","2.2k","R_0805_2012Metric",157.500000,-110.062500,-90.000000,top
"R7","2.2k","R_0805_2012Metric",168.181600,-109.975000,-90.000000,top
"R8","2.2k","R_0805_2012Metric",170.434000,-109.975000,-90.000000,top
"R10","100R","R_0603_1608Metric",118.364000,-89.599000,-90.000000,top
"R11","100R","R_0603_1608Metric",109.728000,-112.776000,-90.000000,top
"R12","1k R","R_0603_1608Metric",118.364000,-92.773000,-90.000000,top
"U1","tmc2209","TMC2209_SilentStepStick_Socket_18P",88.150000,-28.400000,0.000000,top
"U2","tmc2209","TMC2209_SilentStepStick_Socket_18P",107.650000,-28.380000,0.000000,top
"U3","tmc2209","TMC2209_SilentStepStick_Socket_18P",127.856346,-28.400000,0.000000,top
"U4","tmc2209","TMC2209_SilentStepStick_Socket_18P",147.356346,-28.400000,0.000000,top
